service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"0_1",0,0,0,0,0,0,0,20250607,20301231
"0_2",0,0,0,0,0,0,0,20250607,20301231
"0_3",0,0,0,0,0,0,0,20250607,20301231
"0_4",0,0,0,0,0,0,0,20250607,20301231
"0_5",0,0,0,0,0,0,0,20250607,20301231
"0_6",0,0,0,0,0,0,0,20250607,20301231
"0_7",0,0,0,0,0,0,0,20250607,20301231
"0_10",0,0,0,0,0,0,0,20250607,20301231
"0_8",0,0,0,0,0,0,0,20250607,20301231
"0_9",0,0,0,0,0,0,0,20250607,20301231
"0_11",0,0,0,0,0,0,0,20250607,20301231
"0_12",0,0,0,0,0,0,0,20250607,20301231
"0_13",0,0,0,0,0,0,0,20250607,20301231
"0_14",0,0,0,0,0,0,0,20250607,20301231
"0_15",0,0,0,0,0,0,0,20250607,20301231
