shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
"2_8",45.789396,16.034915,10001,
"2_8",45.789938,16.035449,10002,
"2_8",45.790728,16.036258,10003,
"2_8",45.790727,16.036405,10004,
"2_8",45.790727,16.036405,20001,
"2_8",45.790971,16.036516,20002,
"2_8",45.792495,16.038063,20003,
"2_8",45.792573,16.038153,20004,
"2_8",45.792573,16.038153,30001,
"2_8",45.792945,16.038463,30002,
"2_8",45.793226,16.038585,30003,
"2_8",45.793580,16.038611,30004,
"2_8",45.794358,16.038479,30005,
"2_8",45.795481,16.038289,30006,
"2_8",45.796065,16.038150,30007,
"2_8",45.796365,16.037999,30008,
"2_8",45.797164,16.037390,30009,
"2_8",45.797164,16.037390,40001,
"2_8",45.797705,16.036813,40002,
"2_8",45.798143,16.036233,40003,
"2_8",45.799088,16.034438,40004,
"2_8",45.799168,16.034328,40005,
"2_8",45.799174,16.034325,50001,
"2_8",45.799601,16.033410,50002,
"2_8",45.800823,16.031037,50003,
"2_8",45.800821,16.031041,60001,
"2_8",45.801411,16.029876,60002,
"2_8",45.802263,16.028186,60003,
"2_8",45.802718,16.027344,60004,
"2_8",45.802718,16.027344,70001,
"2_8",45.803067,16.026563,70002,
"2_8",45.803371,16.026009,70003,
"2_8",45.803603,16.025555,70004,
"2_8",45.803720,16.025322,70005,
"2_8",45.803918,16.024926,70006,
"2_8",45.804058,16.024619,70007,
"2_8",45.804142,16.024388,70008,
"2_8",45.804185,16.024268,70009,
"2_8",45.804223,16.024091,70010,
"2_8",45.804343,16.023646,70011,
"2_8",45.804343,16.023646,80001,
"2_8",45.804342,16.023512,80002,
"2_8",45.804352,16.023300,80003,
"2_8",45.804354,16.023100,80004,
"2_8",45.804354,16.022913,80005,
"2_8",45.804341,16.022681,80006,
"2_8",45.804329,16.022490,80007,
"2_8",45.804034,16.020691,80008,
"2_8",45.804034,16.020691,90001,
"2_8",45.803977,16.020352,90002,
"2_8",45.803856,16.019689,90003,
"2_8",45.803402,16.016932,90004,
"2_8",45.803322,16.016479,90005,
"2_8",45.803191,16.015651,90006,
"2_8",45.803151,16.015424,90007,
"2_8",45.803114,16.015320,90008,
"2_8",45.803114,16.015320,100001,
"2_8",45.803105,16.015198,100002,
"2_8",45.803105,16.015105,100003,
"2_8",45.802736,16.012906,100004,
"2_8",45.802574,16.011923,100005,
"2_8",45.802513,16.011572,100006,
"2_8",45.802496,16.011459,100007,
"2_8",45.802453,16.011391,100008,
"2_8",45.802453,16.011391,110001,
"2_8",45.802453,16.011257,110002,
"2_8",45.802431,16.011132,110003,
"2_8",45.802264,16.010092,110004,
"2_8",45.802046,16.008770,110005,
"2_8",45.801912,16.007913,110006,
"2_8",45.801838,16.007464,110007,
"2_8",45.801746,16.006728,110008,
"2_8",45.801682,16.006160,110009,
"2_8",45.801606,16.005215,110010,
"2_8",45.801577,16.004911,110011,
"2_8",45.801570,16.004683,110012,
"2_8",45.801551,16.004676,110013,
"2_8",45.801554,16.004673,120001,
"2_8",45.801554,16.004517,120002,
"2_8",45.801350,16.000079,120003,
"2_8",45.801350,16.000079,130001,
"2_8",45.801141,15.995443,130002,
"2_8",45.801973,15.994950,130003,
"2_8",45.801969,15.994951,140001,
"2_8",45.802700,15.994549,140002,
"2_8",45.803675,15.993981,140003,
"2_8",45.803995,15.993820,140004,
"2_8",45.804136,15.993741,140005,
"2_8",45.804253,15.993695,140006,
"2_8",45.804326,15.993635,140007,
"2_8",45.804386,15.993628,140008,
"2_8",45.804386,15.993628,150001,
"2_8",45.804470,15.993531,150002,
"2_8",45.804950,15.993258,150003,
"2_8",45.805409,15.992989,150004,
"2_8",45.805825,15.992751,150005,
"2_8",45.806006,15.992658,150006,
"2_8",45.806187,15.992523,150007,
"2_8",45.806228,15.992416,150008,
"2_8",45.806237,15.992350,150009,
"2_8",45.806109,15.991590,150010,
"2_8",45.806131,15.991435,150011,
"2_8",45.806131,15.991435,160001,
"2_8",45.806086,15.991384,160002,
"2_8",45.805968,15.990599,160003,
"2_8",45.805903,15.989991,160004,
"2_8",45.805850,15.989533,160005,
"2_8",45.805759,15.988088,160006,
"2_8",45.805570,15.984448,160007,
"2_8",45.805570,15.984441,170001,
"2_8",45.805492,15.983327,170002,
"2_8",45.805236,15.978451,170003,
"2_8",45.805234,15.978461,180001,
"2_8",45.805233,15.978233,180002,
"2_8",45.805309,15.978107,180003,
"2_8",45.805438,15.978065,180004,
"2_8",45.805582,15.978054,180005,
"2_8",45.805648,15.977954,180006,
"2_8",45.805681,15.977855,180007,
"2_8",45.805686,15.977777,180008,
"2_8",45.805668,15.977530,180009,
"2_8",45.805669,15.977196,180010,
"2_8",45.805661,15.976740,180011,
"2_8",45.805698,15.976522,180012,
"2_8",45.805675,15.975660,180013,
"2_8",45.805643,15.974485,180014,
"2_8",45.805643,15.974204,180015,
"2_8",45.805500,15.974162,180016,
"2_8",45.805500,15.974162,190001,
"2_8",45.805633,15.974135,190002,
"2_8",45.805637,15.973923,190003,
"2_8",45.805554,15.970686,190004,
"2_8",45.805525,15.969633,190005,
"2_8",45.805482,15.968445,190006,
"2_8",45.805468,15.967517,190007,
"2_8",45.805447,15.967108,190008,
"2_8",45.805513,15.967100,190009,
"2_8",45.805513,15.967100,200001,
"2_8",45.805442,15.967002,200002,
"2_8",45.805425,15.965911,200003,
"2_8",45.805396,15.965367,200004,
"2_8",45.805397,15.965127,200005,
"2_8",45.805460,15.964957,200006,
"2_8",45.806188,15.963915,200007,
"2_8",45.807564,15.962042,200008,
"2_8",45.807564,15.962042,210001,
"2_8",45.807722,15.961795,210002,
"2_8",45.808006,15.961289,210003,
"2_8",45.808184,15.960846,210004,
"2_8",45.808369,15.960406,210005,
"2_8",45.808523,15.959996,210006,
"2_8",45.808655,15.959607,210007,
"2_8",45.808783,15.959150,210008,
"2_8",45.808907,15.958676,210009,
"2_8",45.809003,15.958130,210010,
"2_8",45.809026,15.957868,210011,
"2_8",45.809044,15.957595,210012,
"2_8",45.809018,15.957506,210013,
"2_8",45.809018,15.957506,220001,
"2_8",45.809051,15.957314,220002,
"2_8",45.809104,15.957116,220003,
"2_8",45.809220,15.957029,220004,
"2_8",45.809633,15.957043,220005,
"2_8",45.811638,15.957284,220006,
"2_8",45.812808,15.957452,220007,
"2_8",45.812808,15.957452,230001,
"2_8",45.812964,15.957405,230002,
"2_8",45.813089,15.957346,230003,
"2_8",45.813167,15.957208,230004,
"2_8",45.813205,15.957072,230005,
"2_8",45.813213,15.956876,230006,
"2_8",45.813214,15.956636,230007,
"2_8",45.813206,15.956457,230008,
"2_8",45.813196,15.956295,230009,
"2_8",45.813145,15.955865,230010,
"2_8",45.812807,15.954280,230011,
"2_8",45.812682,15.953776,230012,
"2_8",45.812611,15.953446,230013,
"2_8",45.812475,15.952511,230014,
"2_8",45.812475,15.952511,240001,
"2_8",45.812499,15.952477,240002,
"2_8",45.812499,15.952196,240003,
"2_8",45.812486,15.951069,240004,
"2_8",45.812475,15.950357,240005,
"2_8",45.812474,15.949848,240006,
"2_8",45.812461,15.949469,240007,
"2_8",45.812462,15.948948,240008,
"2_8",45.812495,15.948849,240009,
"2_8",45.812495,15.948849,250001,
"2_8",45.812462,15.948814,250002,
"2_8",45.812463,15.948708,250003,
"2_8",45.812437,15.948098,250004,
"2_8",45.812445,15.947483,250005,
"2_8",45.812485,15.946960,250006,
"2_8",45.812499,15.946764,250007,
"2_8",45.812564,15.946435,250008,
"2_8",45.812640,15.946122,250009,
"2_8",45.812748,15.945714,250010,
"2_8",45.812834,15.945376,250011,
"2_8",45.813141,15.943860,250012,
"2_8",45.813259,15.943199,250013,
"2_8",45.813399,15.942423,250014,
"2_8",45.813636,15.941464,250015,
"2_8",45.813636,15.941464,260001,
"2_8",45.814473,15.937855,260002,
"2_8",45.814761,15.936669,260003,
"2_8",45.814862,15.936123,260004,
"2_8",45.814867,15.935898,260005,
"2_8",45.814910,15.935400,260006,
"2_8",45.814925,15.935151,260007,
"2_8",45.814955,15.935027,260008,
"2_8",45.815066,15.934884,260009,
"2_8",45.815150,15.934749,260010,
"2_8",45.815246,15.934615,260011,
"2_8",45.815322,15.934490,260012,
"2_8",45.815364,15.934369,260013,
"2_8",45.815378,15.934320,260014,
"2_8",45.815379,15.934267,260015,
"2_8",45.815400,15.933924,260016,
"2_9",45.815128,15.934527,10001,
"2_9",45.814875,15.935137,10002,
"2_9",45.814876,15.935552,10003,
"2_9",45.814713,15.936679,10004,
"2_9",45.814267,15.938544,10005,
"2_9",45.813503,15.941812,10006,
"2_9",45.813247,15.943049,10007,
"2_9",45.813247,15.943049,20001,
"2_9",45.813197,15.943275,20002,
"2_9",45.813158,15.943411,20003,
"2_9",45.813129,15.943576,20004,
"2_9",45.813096,15.943768,20005,
"2_9",45.813051,15.943994,20006,
"2_9",45.812989,15.944258,20007,
"2_9",45.812779,15.945306,20008,
"2_9",45.812682,15.945680,20009,
"2_9",45.812645,15.945804,20010,
"2_9",45.812525,15.946249,20011,
"2_9",45.812442,15.946705,20012,
"2_9",45.812385,15.947213,20013,
"2_9",45.812360,15.947768,20014,
"2_9",45.812368,15.948130,20015,
"2_9",45.812432,15.948322,20016,
"2_9",45.812432,15.948322,30001,
"2_9",45.812384,15.948577,30002,
"2_9",45.812396,15.949757,30003,
"2_9",45.812404,15.950910,30004,
"2_9",45.812418,15.951703,30005,
"2_9",45.812460,15.951958,30006,
"2_9",45.812460,15.951958,40001,
"2_9",45.812412,15.952212,40002,
"2_9",45.812422,15.952468,40003,
"2_9",45.812470,15.952963,40004,
"2_9",45.812590,15.953695,40005,
"2_9",45.812779,15.954432,40006,
"2_9",45.812897,15.954989,40007,
"2_9",45.813039,15.955740,40008,
"2_9",45.813102,15.956173,40009,
"2_9",45.813130,15.956489,40010,
"2_9",45.813140,15.956652,40011,
"2_9",45.813143,15.956774,40012,
"2_9",45.813117,15.956820,40013,
"2_9",45.813117,15.956820,50001,
"2_9",45.813131,15.956998,50002,
"2_9",45.813093,15.957228,50003,
"2_9",45.813003,15.957362,50004,
"2_9",45.812832,15.957378,50005,
"2_9",45.812225,15.957307,50006,
"2_9",45.811755,15.957279,50007,
"2_9",45.811457,15.957231,50008,
"2_9",45.811055,15.957180,50009,
"2_9",45.810581,15.957132,50010,
"2_9",45.810473,15.957116,50011,
"2_9",45.810256,15.957093,50012,
"2_9",45.809943,15.957054,50013,
"2_9",45.809848,15.957038,50014,
"2_9",45.809672,15.957095,50015,
"2_9",45.809672,15.957095,60001,
"2_9",45.809645,15.957006,60002,
"2_9",45.809440,15.956987,60003,
"2_9",45.809232,15.956992,60004,
"2_9",45.809119,15.957054,60005,
"2_9",45.809055,15.957142,60006,
"2_9",45.809023,15.957278,60007,
"2_9",45.809017,15.957466,60008,
"2_9",45.809004,15.957649,60009,
"2_9",45.808993,15.957874,60010,
"2_9",45.808958,15.958169,60011,
"2_9",45.808911,15.958464,60012,
"2_9",45.808819,15.958892,60013,
"2_9",45.808757,15.959155,60014,
"2_9",45.808653,15.959526,60015,
"2_9",45.808539,15.959881,60016,
"2_9",45.808508,15.959964,60017,
"2_9",45.808377,15.960300,60018,
"2_9",45.808215,15.960722,60019,
"2_9",45.808097,15.961008,60020,
"2_9",45.808011,15.961212,60021,
"2_9",45.807888,15.961441,60022,
"2_9",45.807816,15.961583,60023,
"2_9",45.807816,15.961583,70001,
"2_9",45.807733,15.961717,70002,
"2_9",45.807529,15.962019,70003,
"2_9",45.807246,15.962418,70004,
"2_9",45.806919,15.962856,70005,
"2_9",45.806340,15.963664,70006,
"2_9",45.805993,15.964151,70007,
"2_9",45.805631,15.964660,70008,
"2_9",45.805427,15.964962,70009,
"2_9",45.805375,15.965054,70010,
"2_9",45.805336,15.965150,70011,
"2_9",45.805349,15.965475,70012,
"2_9",45.805365,15.966015,70013,
"2_9",45.805375,15.966740,70014,
"2_9",45.805398,15.967134,70015,
"2_9",45.805410,15.967419,70016,
"2_9",45.805407,15.967537,70017,
"2_9",45.805359,15.967645,70018,
"2_9",45.805359,15.967645,80001,
"2_9",45.805414,15.967675,80002,
"2_9",45.805435,15.969018,80003,
"2_9",45.805515,15.971477,80004,
"2_9",45.805541,15.972368,80005,
"2_9",45.805581,15.973437,80006,
"2_9",45.805621,15.973663,80007,
"2_9",45.805621,15.973663,90001,
"2_9",45.805557,15.974033,90002,
"2_9",45.805585,15.974858,90003,
"2_9",45.805615,15.976135,90004,
"2_9",45.805620,15.976379,90005,
"2_9",45.805640,15.977079,90006,
"2_9",45.805647,15.977726,90007,
"2_9",45.805647,15.977819,90008,
"2_9",45.805608,15.977915,90009,
"2_9",45.805546,15.977991,90010,
"2_9",45.805426,15.978008,90011,
"2_9",45.805319,15.978030,90012,
"2_9",45.805245,15.978102,90013,
"2_9",45.805207,15.978185,90014,
"2_9",45.805192,15.978340,90015,
"2_9",45.805232,15.978941,90016,
"2_9",45.805235,15.979197,90017,
"2_9",45.805218,15.979272,90018,
"2_9",45.805218,15.979272,100001,
"2_9",45.805254,15.979295,100002,
"2_9",45.805265,15.979498,100003,
"2_9",45.805346,15.980968,100004,
"2_9",45.805435,15.982573,100005,
"2_9",45.805465,15.983386,100006,
"2_9",45.805490,15.983714,100007,
"2_9",45.805438,15.983765,100008,
"2_9",45.805438,15.983765,110001,
"2_9",45.805506,15.983974,110002,
"2_9",45.805563,15.984965,110003,
"2_9",45.805617,15.986119,110004,
"2_9",45.805691,15.987264,110005,
"2_9",45.805761,15.988584,110006,
"2_9",45.805814,15.989563,110007,
"2_9",45.805914,15.990475,110008,
"2_9",45.806140,15.991976,110009,
"2_9",45.806140,15.991976,120001,
"2_9",45.806179,15.992214,120002,
"2_9",45.806186,15.992349,120003,
"2_9",45.806163,15.992463,120004,
"2_9",45.806123,15.992518,120005,
"2_9",45.803723,15.993914,120006,
"2_9",45.803723,15.993914,130001,
"2_9",45.803398,15.994099,130002,
"2_9",45.803082,15.994275,130003,
"2_9",45.802636,15.994544,130004,
"2_9",45.802327,15.994708,130005,
"2_9",45.802017,15.994884,130006,
"2_9",45.801824,15.995015,130007,
"2_9",45.801614,15.995126,130008,
"2_9",45.801340,15.995276,130009,
"2_9",45.801232,15.995350,130010,
"2_9",45.801090,15.995482,130011,
"2_9",45.801076,15.995585,130012,
"2_9",45.801127,15.996429,130013,
"2_9",45.801127,15.996429,140001,
"2_9",45.801118,15.996454,140002,
"2_9",45.801280,15.999859,140003,
"2_9",45.801317,15.999829,140004,
"2_9",45.801317,15.999829,150001,
"2_9",45.801294,15.999850,150002,
"2_9",45.801492,16.003937,150003,
"2_9",45.801520,16.003920,150004,
"2_9",45.801520,16.003920,160001,
"2_9",45.801488,16.003962,160002,
"2_9",45.801516,16.004506,160003,
"2_9",45.801554,16.005079,160004,
"2_9",45.801592,16.005545,160005,
"2_9",45.801646,16.006097,160006,
"2_9",45.801709,16.006758,160007,
"2_9",45.801773,16.007231,160008,
"2_9",45.801992,16.008647,160009,
"2_9",45.802292,16.010502,160010,
"2_9",45.802310,16.010506,160011,
"2_9",45.802312,16.010498,170001,
"2_9",45.802420,16.011169,170002,
"2_9",45.803022,16.014683,170003,
"2_9",45.803022,16.014683,180001,
"2_9",45.803409,16.017160,180002,
"2_9",45.803884,16.019917,180003,
"2_9",45.803881,16.019924,190001,
"2_9",45.804137,16.021538,190002,
"2_9",45.804229,16.022087,190003,
"2_9",45.804289,16.022545,190004,
"2_9",45.804339,16.023255,190005,
"2_9",45.804339,16.023255,200001,
"2_9",45.804291,16.023604,200002,
"2_9",45.804243,16.023899,200003,
"2_9",45.804148,16.024257,200004,
"2_9",45.804056,16.024538,200005,
"2_9",45.803338,16.026014,200006,
"2_9",45.803158,16.026376,200007,
"2_9",45.802961,16.026812,200008,
"2_9",45.802961,16.026812,210001,
"2_9",45.802829,16.027013,210002,
"2_9",45.802242,16.028154,210003,
"2_9",45.801622,16.029390,210004,
