stop_id,stop_name,stop_lat,stop_lon,parent_station
98_1,Črnomerec,45.815002,15.934932,98
98_2,Črnomerec,45.815398,15.933924,98
98_11,Črnomerec,45.815127,15.934536,98
98,Črnomerec,45.815175,15.934464,
99_23,Črnomerec,45.815318,15.933231,99
99_26,Črnomerec,45.814933,15.933877,99
99_31,Črnomerec,45.816087,15.933219,99
99_32,Črnomerec,45.816059,15.933327,99
99_36,Črnomerec,45.814943,15.934140,99
99_42,Črnomerec,45.815739,15.933910,99
99_52,Črnomerec,45.815800,15.934131,99
99_62,Črnomerec,45.815837,15.934329,99
99_75,Črnomerec,45.815703,15.933606,99
99_82,Črnomerec,45.814943,15.934140,99
99_85,Črnomerec,45.815799,15.933997,99
99,Črnomerec,45.815560,15.933810,
100_1,Sveti Duh,45.813211,15.943075,100
100_2,Sveti Duh,45.813639,15.941471,100
100,Sveti Duh,45.813425,15.942273,
101_1,Mandaličina,45.812427,15.948326,101
101_2,Mandaličina,45.812493,15.948860,101
101,Mandaličina,45.812460,15.948593,
102_1,Slovenska,45.812458,15.951965,102
102_2,Slovenska,45.812472,15.952514,102
102,Slovenska,45.812465,15.952239,
103_1,Trg dr. F. Tuđmana,45.813111,15.956823,103
103_2,Trg dr. F. Tuđmana,45.813169,15.957786,103
103_3,Trg dr. F. Tuđmana,45.812808,15.957457,103
103,Trg dr. F. Tuđmana,45.813029,15.957355,
104_22,Britanski trg,45.814285,15.964053,104
104_23,Britanski trg,45.813780,15.964362,104
104_24,Britanski trg,45.813808,15.964171,104
104_28,Britanski trg,45.813944,15.964018,104
104,Britanski trg,45.813954,15.964151,
105_1,Frankopanska,45.813254,15.969401,105
105_2,Frankopanska,45.813303,15.968628,105
105_3,Frankopanska,45.812499,15.969598,105
105_4,Frankopanska,45.812487,15.969483,105
105,Frankopanska,45.812886,15.969278,
106_1,Trg J. Jelačića,45.812858,15.977265,106
106_2,Trg J. Jelačića,45.813069,15.976531,106
106,Trg J. Jelačića,45.812963,15.976898,
107_3,Zrinjevac,45.809168,15.977826,107
107_4,Zrinjevac,45.808883,15.977743,107
107,Zrinjevac,45.809026,15.977785,
109_1,Glavni kolodvor,45.805213,15.979278,109
109_2,Glavni kolodvor,45.805235,15.978460,109
109,Glavni kolodvor,45.805224,15.978869,
110_21,Glavni kolodvor,45.803939,15.978579,110
110_22,Glavni kolodvor,45.803745,15.977791,110
110_26,Glavni kolodvor,45.803622,15.977789,110
110_32,Glavni kolodvor,45.803619,15.977369,110
110_36,Glavni kolodvor,45.803578,15.977422,110
110_41,Glavni kolodvor,45.803857,15.979041,110
110_42,Glavni kolodvor,45.803284,15.977098,110
110_46,Glavni kolodvor,45.803578,15.977422,110
110_51,Glavni kolodvor,45.803781,15.979205,110
110_52,Glavni kolodvor,45.802712,15.977034,110
110_61,Glavni kolodvor,45.803776,15.979408,110
110_62,Glavni kolodvor,45.802209,15.977324,110
110_72,Glavni kolodvor,45.801989,15.977234,110
110_82,Glavni kolodvor,45.803206,15.977119,110
110,Glavni kolodvor,45.803350,15.977845,
111_1,Branimirova,45.805442,15.983765,111
111_2,Branimirova,45.805568,15.984450,111
111,Branimirova,45.805505,15.984107,
112_1,Branim. tržnica,45.806140,15.991980,112
112_2,Branim. tržnica,45.806132,15.991438,112
112,Branim. tržnica,45.806136,15.991709,
113_3,Autobusni kol.,45.804385,15.993636,113
113_4,Autobusni kol.,45.803725,15.993918,113
113,Autobusni kol.,45.804055,15.993777,
114_1,Držićeva,45.801133,15.996430,114
114_2,Držićeva,45.801033,15.994405,114
114_3,Držićeva,45.801971,15.994959,114
114_4,Držićeva,45.800390,15.995899,114
114,Držićeva,45.801132,15.995423,
115_3,Slavonska,45.796620,15.998885,115
