route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
268,"0_1","0_1_26820_268_10001","V. Gorica",,0,26820,"268_18"
268,"0_1","0_1_26820_268_10002","Gl.kolodvor",,1,26820,"268_9"
268,"0_1","0_1_26820_268_10007","V. Gorica",,0,26820,"268_18"
268,"0_1","0_1_26820_268_10008","Gl.kolodvor",,1,26820,"268_9"
268,"0_1","0_1_26820_268_10013","V. Gorica",,0,26820,"268_18"
268,"0_1","0_1_26820_268_10014","Gl.kolodvor",,1,26820,"268_9"
212,"0_1","0_1_21220_212_10001","Sesvete",,0,21220,"212_5"
268,"0_1","0_1_26820_268_10019","V. Gorica",,0,26820,"268_18"
311,"0_1","0_1_31102_311_10007","Cerov. vrh",,0,31102,"311_14"
271,"0_1","0_1_27103_271_10013","Glavnica D.",,0,27103,"271_9"
15,"0_1","0_1_1501_15_10007","Mihaljevac",,0,1501,"15_3"
12,"0_1","0_1_1201_12_10001","Dubrava",,0,1201,"12_1"
6,"0_1","0_1_601_6_10001","Savski gaj",,0,601,
6,"0_1","0_1_609_6_10004","Črnomerec",,1,609,"6_12"
7,"0_1","0_1_701_7_10014","Savski most",,1,701,"7_68"
2,"0_1","0_1_201_2_10005","Savišće",,0,201,"2_11"
162,"0_1","0_1_16201_162_10003","Ašpergeri",,0,16201,
263,"0_1","0_1_26301_263_10005","Planina Gornja",,0,26301,"263_7"
262,"0_1","0_1_26201_262_10007","Planina Donja",,0,26201,"262_3"
274,"0_1","0_1_27401_274_10007","Laktec",,0,27401,"274_5"
269,"0_1","0_1_26901_269_10011","Ses.Kraljev.",,0,26901,"269_14"
272,"0_1","0_1_27101_272_10009","Moravče",,0,27101,"272_4"
213,"0_1","0_1_22302_213_10003","Jalševec",,0,22302,"213_4"
14,"0_1","0_1_1401_14_10007","Savski gaj-rotor",,0,1401,
5,"0_1","0_1_501_5_10001","Park Maksimir",,0,501,"5_18"
119,"0_1","0_1_11901_119_10013","Podsused",,0,11901,"119_1"
8,"0_1","0_1_801_8_10001","Sopot",,0,801,
14,"0_1","0_1_1408_14_10024","Mihaljevac",,1,1408,"14_9"
3,"0_1","0_1_301_3_10003","Savišće",,0,301,"3_3"
15,"0_1","0_1_1502_15_10015","Mihaljevac",,0,1502,"15_3"
208,"0_1","0_1_20801_208_10001","Vidovec",,0,20801,"208_6"
119,"0_1","0_1_11901_119_10008","Črnomerec",,1,11901,"119_2"
161,"0_1","0_1_16102_161_10007","Štrpet",,0,16102,
163,"0_1","0_1_15901_163_10003","G. Trpuci",,0,15901,"163_17"
168,"0_1","0_1_16801_168_10001","Prečko",,0,16801,"168_3"
217,"0_1","0_1_21703_217_10001","Petruš. nas.",,0,21703,"217_5"
176,"0_1","0_1_17601_176_10011","G. Bistra",,0,17601,"176_27"
159,"0_1","0_1_11203_159_10009","Strmec",,0,11203,"159_9"
160,"0_1","0_1_16001_160_10009","Havidić Selo",,0,16001,"160_9"
268,"0_1","0_1_26801_268_10035","V. Gorica",,0,26801,"268_3"
205,"0_1","0_1_20501_205_10001","Bidrovec",,0,20501,"205_7"
9,"0_1","0_1_901_9_10013","Borongaj",,0,901,"9_1"
17,"0_1","0_1_1701_17_10007","Borongaj",,0,1701,"17_14"
8,"0_1","0_1_804_8_10014","Mihaljevac",,1,804,"8_9"
12,"0_1","0_1_1204_12_10015","Dubrava",,0,1204,"12_1"
5,"0_1","0_1_508_5_10008","Prečko",,1,508,"5_9"
4,"0_1","0_1_401_4_10016","Savski most",,1,401,"4_5"
6,"0_1","0_1_603_6_10013","Savski gaj",,0,603,
307,"0_1","0_1_30801_307_10005","S.Bukevski",,0,30801,"307_19"
164,"0_1","0_1_16402_164_10003","Horvati",,0,16402,"164_5"
166,"0_1","0_1_16601_166_10001","D.Dragonožec",,0,16601,"166_11"
209,"0_1","0_1_20901_209_10007","Čučerje",,0,20901,"209_8"
214,"0_1","0_1_21401_214_10001","Kozari Bok",,0,21401,"214_5"
168,"0_1","0_1_16801_168_10002","Savski most",,1,16801,"168_2"
273,"0_1","0_1_27301_273_10007","Lužan",,0,27301,"273_5"
280,"0_1","0_1_28001_280_10009","Šimunčevec",,0,28001,"280_3"
237,"0_1","0_1_23701_237_10003","Kozari Putevi",,0,23701,"237_3"
215,"0_1","0_1_21501_215_10005","Trnava",,0,21501,"215_1"
224,"0_1","0_1_22401_224_10005","Novoselec",,0,22401,"224_3"
132,"0_1","0_1_13201_132_10003","G.Breg-Brezo.",,0,13201,"132_5"
261,"0_1","0_1_26101_261_10001","Goranec",,0,26101,"261_5"
270,"0_1","0_1_27001_270_10001","Blaguša",,0,27001,"270_7"
172,"0_1","0_1_17201_172_10005","Zaprešić",,0,17201,"172_21"
6,"0_1","0_1_611_6_10038","Črnomerec",,1,611,"6_12"
17,"0_1","0_1_1710_17_10016","Prečko",,1,1710,"17_11"
7,"0_1","0_1_703_7_10034","Savski most",,1,703,"7_68"
116,"0_1","0_1_11601_116_10001","Podsus-most",,0,11601,"116_1"
11,"0_1","0_1_1101_11_10002","Črnomerec",,1,1101,"11_14"
14,"0_1","0_1_1403_14_10021","Savski gaj-rotor",,0,1403,
13,"0_1","0_1_1301_13_10024","Žitnjak",,1,1301,"13_29"
5,"0_1","0_1_502_5_10017","Park Maksimir",,0,502,"5_18"
216,"0_1","0_1_21704_216_10005","Ivanja Reka",,0,21704,"216_6"
116,"0_1","0_1_11601_116_10002","Ljubljanica",,1,11601,"116_2"
212,"0_1","0_1_21220_212_10012","Dubec",,1,21220,"212_7"
217,"0_1","0_1_21701_217_10003","Struge",,0,21701,"217_1"
177,"0_1","0_1_17606_177_10005","G. Bistra",,0,17606,"177_12"
212,"0_1","0_1_21201_212_10011","Sesvete",,0,21201,"212_1"
270,"0_1","0_1_27002_270_10003","Blaguša",,0,27002,"270_4"
268,"0_1","0_1_26820_268_10022","Gl.kolodvor",,1,26820,"268_9"
220,"0_1","0_1_22001_220_10005","Dugave",,0,22001,"220_3"
2,"0_1","0_1_207_2_10004","Črnomerec",,1,207,"2_13"
14,"0_1","0_1_1410_14_10062","Mihaljevac",,1,1410,"14_9"
2,"0_1","0_1_203_2_10031","Savišće",,0,203,"2_11"
1,"0_1","0_1_101_1_10007","Borongaj",,0,101,"1_10"
137,"0_1","0_1_13701_137_10003","Per.-Borčec",,0,13701,"137_1"
8,"0_1","0_1_802_8_10021","Sopot",,0,802,
3,"0_1","0_1_302_3_10019","Savišće",,0,302,"3_3"
127,"0_1","0_1_12701_127_10011","Mikulići",,0,12701,"127_5"
268,"0_1","0_1_26803_268_10047","V. Gorica",,0,26803,"268_3"
307,"0_1","0_1_30801_307_10002","Zapruđe",,1,30801,"307_20"
121,"0_1","0_1_12101_121_10002","Črnomerec",,1,12101,"121_5"
