route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
268,"0_11","0_11_26820_268_10001","V. Gorica",,0,26820,"268_18"
268,"0_11","0_11_26820_268_10002","Gl.kolodvor",,1,26820,"268_9"
268,"0_11","0_11_26820_268_10007","V. Gorica",,0,26820,"268_18"
268,"0_11","0_11_26820_268_10008","Gl.kolodvor",,1,26820,"268_9"
268,"0_11","0_11_26820_268_10013","V. Gorica",,0,26820,"268_18"
268,"0_11","0_11_26820_268_10014","Gl.kolodvor",,1,26820,"268_9"
212,"0_11","0_11_21220_212_10001","Sesvete",,0,21220,"212_5"
268,"0_11","0_11_26820_268_10019","V. Gorica",,0,26820,"268_18"
311,"0_11","0_11_31102_311_10007","Cerov. vrh",,0,31102,"311_14"
271,"0_11","0_11_27103_271_10011","Glavnica D.",,0,27103,"271_9"
15,"0_11","0_11_1501_15_10007","Mihaljevac",,0,1501,"15_3"
12,"0_11","0_11_1201_12_10001","Dubrava",,0,1201,"12_1"
269,"0_11","0_11_26901_269_10009","Ses.Kraljev.",,0,26901,"269_14"
7,"0_11","0_11_701_7_10016","Savski most",,1,701,"7_68"
6,"0_11","0_11_601_6_10016","Črnomerec",,1,601,"6_12"
263,"0_11","0_11_26301_263_10005","Planina Gornja",,0,26301,"263_7"
272,"0_11","0_11_27101_272_10007","Moravče",,0,27101,"272_4"
274,"0_11","0_11_27401_274_10007","Laktec",,0,27401,"274_5"
2,"0_11","0_11_201_2_10005","Savišće",,0,201,"2_11"
262,"0_11","0_11_26201_262_10011","Planina Donja",,0,26201,"262_3"
162,"0_11","0_11_16201_162_10003","Ašpergeri",,0,16201,
213,"0_11","0_11_22302_213_10003","Jalševec",,0,22302,"213_4"
5,"0_11","0_11_501_5_10003","Park Maksimir",,0,501,"5_18"
119,"0_11","0_11_11901_119_10011","Podsused",,0,11901,"119_1"
14,"0_11","0_11_1401_14_10020","Mihaljevac",,1,1401,"14_9"
3,"0_11","0_11_301_3_10009","Savišće",,0,301,"3_3"
8,"0_11","0_11_801_8_10008","Mihaljevac",,1,801,"8_9"
15,"0_11","0_11_1502_15_10013","Mihaljevac",,0,1502,"15_3"
163,"0_11","0_11_15901_163_10009","G. Trpuci",,0,15901,"163_17"
159,"0_11","0_11_11203_159_10005","Strmec",,0,11203,
217,"0_11","0_11_21703_217_10001","Petruš. nas.",,0,21703,"217_5"
268,"0_11","0_11_26801_268_10035","V. Gorica",,0,26801,"268_3"
176,"0_11","0_11_17601_176_10013","G. Bistra",,0,17601,"176_27"
205,"0_11","0_11_20501_205_10001","Bidrovec",,0,20501,"205_7"
208,"0_11","0_11_20801_208_10003","Vidovec",,0,20801,"208_6"
119,"0_11","0_11_11901_119_10006","Črnomerec",,1,11901,"119_2"
168,"0_11","0_11_16801_168_10001","Prečko",,0,16801,"168_3"
209,"0_11","0_11_20901_209_10001","Čučerje",,0,20901,"209_8"
160,"0_11","0_11_16001_160_10005","Havidić Selo",,0,16001,"160_9"
161,"0_11","0_11_16102_161_10005","Štrpet",,0,16102,
14,"0_11","0_11_1409_14_10026","Zapruđe",,1,1409,"14_25"
9,"0_11","0_11_901_9_10011","Borongaj",,0,901,"9_1"
17,"0_11","0_11_1701_17_10007","Borongaj",,0,1701,"17_14"
8,"0_11","0_11_803_8_10005","Zapruđe",,0,803,"8_23"
12,"0_11","0_11_1204_12_10013","Dubrava",,0,1204,"12_1"
5,"0_11","0_11_508_5_10004","Prečko",,1,508,"5_9"
4,"0_11","0_11_401_4_10014","Savski most",,1,401,"4_5"
280,"0_11","0_11_28001_280_10003","Šimunčevec",,0,28001,"280_3"
172,"0_11","0_11_17201_172_10007","Zaprešić",,0,17201,"172_21"
164,"0_11","0_11_16402_164_10003","Horvati",,0,16402,"164_5"
273,"0_11","0_11_27301_273_10005","Lužan",,0,27301,"273_5"
215,"0_11","0_11_21501_215_10003","Trnava",,0,21501,"215_1"
132,"0_11","0_11_13201_132_10003","G.Breg-Brezo.",,0,13201,"132_5"
224,"0_11","0_11_22401_224_10005","Novoselec",,0,22401,"224_3"
307,"0_11","0_11_30801_307_10005","S.Bukevski",,0,30801,"307_19"
166,"0_11","0_11_16601_166_10001","D.Dragonožec",,0,16601,"166_11"
261,"0_11","0_11_26101_261_10005","Goranec",,0,26101,"261_5"
237,"0_11","0_11_23701_237_10003","Kozari Putevi",,0,23701,"237_3"
214,"0_11","0_11_21401_214_10001","Kozari Bok",,0,21401,"214_5"
270,"0_11","0_11_27001_270_10001","Blaguša",,0,27001,"270_7"
168,"0_11","0_11_16801_168_10002","Savski most",,1,16801,"168_2"
6,"0_11","0_11_603_6_10032","Črnomerec",,1,603,"6_12"
17,"0_11","0_11_1710_17_10016","Prečko",,1,1710,"17_11"
7,"0_11","0_11_703_7_10038","Savski most",,1,703,"7_68"
6,"0_11","0_11_609_6_10017","Sopot",,0,609,"6_26"
116,"0_11","0_11_11601_116_10001","Podsus-most",,0,11601,"116_1"
11,"0_11","0_11_1101_11_10002","Črnomerec",,1,1101,"11_14"
14,"0_11","0_11_1404_14_10048","Mihaljevac",,1,1404,"14_9"
13,"0_11","0_11_1301_13_10020","Žitnjak",,1,1301,"13_29"
5,"0_11","0_11_502_5_10015","Park Maksimir",,0,502,"5_18"
212,"0_11","0_11_21201_212_10011","Sesvete",,0,21201,"212_1"
217,"0_11","0_11_21701_217_10003","Struge",,0,21701,"217_1"
212,"0_11","0_11_21220_212_10012","Dubec",,1,21220,"212_7"
220,"0_11","0_11_22001_220_10005","Dugave",,0,22001,"220_3"
177,"0_11","0_11_17606_177_10005","G. Bistra",,0,17606,"177_12"
216,"0_11","0_11_21704_216_10005","Ivanja Reka",,0,21704,"216_6"
116,"0_11","0_11_11601_116_10002","Ljubljanica",,1,11601,"116_2"
270,"0_11","0_11_27002_270_10003","Blaguša",,0,27002,"270_4"
268,"0_11","0_11_26820_268_10022","Gl.kolodvor",,1,26820,"268_9"
2,"0_11","0_11_207_2_10004","Črnomerec",,1,207,"2_13"
2,"0_11","0_11_203_2_10029","Savišće",,0,203,"2_11"
1,"0_11","0_11_101_1_10007","Borongaj",,0,101,"1_10"
137,"0_11","0_11_13701_137_10003","Per.-Borčec",,0,13701,"137_1"
14,"0_11","0_11_1412_14_10062","Zapruđe",,1,1412,"14_25"
8,"0_11","0_11_802_8_10020","Mihaljevac",,1,802,"8_9"
3,"0_11","0_11_302_3_10019","Savišće",,0,302,"3_3"
290,"0_11","0_11_29001_290_10007","V. Gorica",,0,29001,"290_1"
215,"0_11","0_11_21501_215_10002","Kvat. trg",,1,21501,"215_2"
110,"0_11","0_11_11001_110_10001","Botinec",,0,11001,"110_1"
172,"0_11","0_11_17203_172_10013","Zaprešić",,0,17203,"172_21"
307,"0_11","0_11_30801_307_10002","Zapruđe",,1,30801,"307_20"
277,"0_11","0_11_27701_277_10003","Ses.Selnica",,0,27701,"277_7"
127,"0_11","0_11_12701_127_10007","Mikulići",,0,12701,"127_5"
234,"0_11","0_11_23401_234_10005","Lanište",,0,23401,"234_6"
268,"0_11","0_11_26803_268_10047","V. Gorica",,0,26803,"268_3"
201,"0_11","0_11_20102_201_10002","Kaptol",,1,20102,"201_1"
221,"0_11","0_11_22101_221_10005","Travno",,0,22101,"221_1"
218,"0_11","0_11_21801_218_10003","Borovje",,0,21801,"218_4"
107,"0_11","0_11_10701_107_10012","RT Jankomir",,1,10701,"107_1"
279,"0_11","0_11_27901_279_10001","Novi Jelkovec",,0,27901,"279_6"
241,"0_11","0_11_24101_241_10001","Veliko Polje",,0,24101,"241_3"
311,"0_11","0_11_31102_311_10002","Gl.kolodvor",,1,31102,"311_1"
121,"0_11","0_11_12101_121_10002","Črnomerec",,1,12101,"121_5"
242,"0_11","0_11_24201_242_10003","Podbrežje",,0,24201,"242_5"
271,"0_11","0_11_27103_271_10002","Dubec",,1,27103,"271_5"
152,"0_11","0_11_15201_152_10001","Vrhovec",,0,15201,"152_1"
17,"0_11","0_11_1703_17_10023","Borongaj",,0,1703,"17_14"
4,"0_11","0_11_402_4_10032","Savski most",,1,402,"4_5"
9,"0_11","0_11_903_9_10031","Borongaj",,0,903,"9_1"
11,"0_11","0_11_1104_11_10012","Črnomerec",,1,1104,"11_14"
12,"0_11","0_11_1206_12_10023","Dubrava",,0,1206,"12_1"
13,"0_11","0_11_1304_13_10040","Kvat. trg",,1,1304,"13_11"
5,"0_11","0_11_509_5_10014","Prečko",,1,509,"5_9"
131,"0_11","0_11_13102_131_10003","Bizek",,0,13102,"131_1"
17,"0_11","0_11_1712_17_10032","Prečko",,1,1712,"17_11"
6,"0_11","0_11_606_6_10054","Črnomerec",,1,606,"6_12"
4,"0_11","0_11_405_4_10013","Dubec",,0,405,"4_1"
1,"0_11","0_11_102_1_10006","Z. kolodvor",,1,102,"1_7"
